sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	is_control	sc3_k4	sc3_k3	sc3_sex_k3	hoo	otto	consensus	pass_filter
PbMB.10	ERS1544785	3429STDY6526753	1B_1_SC_Pber_Shz	SC	20625	8	10	FALSE	1	2	2	18HRS	gametocyteR3	male	TRUE
PbMB.11	ERS1544786	3429STDY6526754	1C_1_SC_Pber_Shz	SC	20625	8	11	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.12	ERS1544787	3429STDY6526755	1D_1_SC_Pber_Shz	SC	20625	8	12	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.13	ERS1544788	3429STDY6526756	1E_1_SC_Pber_Shz	SC	20625	8	13	FALSE	3	1	0	20HRS	schizont22h	schizont	TRUE
PbMB.14	ERS1544789	3429STDY6526757	1F_1_SC_Pber_Shz	SC	20625	8	14	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.15	ERS1544790	3429STDY6526758	1G_1_SC_Pber_Shz	SC	20625	8	15	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.16	ERS1544791	3429STDY6526759	1H_1_SC_Pber_Shz	SC	20625	8	16	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.26	ERS1544793	3429STDY6526761	2B_1_SC_Pber_Shz	SC	20625	8	26	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.27	ERS1544794	3429STDY6526762	2C_1_SC_Pber_Shz	SC	20625	8	27	FALSE	3	1	0	20HRS	schizont22h	schizont	TRUE
PbMB.28	ERS1544795	3429STDY6526763	2D_1_SC_Pber_Shz	SC	20625	8	28	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.29	ERS1544796	3429STDY6526764	2E_1_SC_Pber_Shz	SC	20625	8	29	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.30	ERS1544797	3429STDY6526765	2F_1_SC_Pber_Shz	SC	20625	8	30	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.31	ERS1544798	3429STDY6526766	2G_1_SC_Pber_Shz	SC	20625	8	31	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.32	ERS1544799	3429STDY6526767	2H_1_SC_Pber_Shz	SC	20625	8	32	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.41	ERS1544800	3429STDY6526768	3A_1_SC_Pber_Shz	SC	20625	8	41	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.42	ERS1544801	3429STDY6526769	3B_1_SC_Pber_Shz	SC	20625	8	42	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.43	ERS1544802	3429STDY6526770	3C_1_SC_Pber_Shz	SC	20625	8	43	FALSE	1	2	3	22HRS	schizont22h	outlier	TRUE
PbMB.44	ERS1544803	3429STDY6526771	3D_1_SC_Pber_Shz	SC	20625	8	44	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.45	ERS1544804	3429STDY6526772	3E_1_SC_Pber_Shz	SC	20625	8	45	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.46	ERS1544805	3429STDY6526773	3F_1_SC_Pber_Shz	SC	20625	8	46	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.47	ERS1544806	3429STDY6526774	3G_1_SC_Pber_Shz	SC	20625	8	47	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.48	ERS1544807	3429STDY6526775	3H_1_SC_Pber_Shz	SC	20625	8	48	FALSE	4	1	0	10HRS	trophozoite16h	trophozoite	TRUE
PbMB.57	ERS1544808	3429STDY6526776	4A_1_SC_Pber_Shz	SC	20625	8	57	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.58	ERS1544809	3429STDY6526777	4B_1_SC_Pber_Shz	SC	20625	8	58	FALSE	1	2	2	22HRS	gametocyteR3	male	TRUE
PbMB.59	ERS1544810	3429STDY6526778	4C_1_SC_Pber_Shz	SC	20625	8	59	FALSE	1	2	3	18HRS	gametocyteR3	outlier	TRUE
PbMB.60	ERS1544811	3429STDY6526779	4D_1_SC_Pber_Shz	SC	20625	8	60	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.61	ERS1544812	3429STDY6526780	4E_1_SC_Pber_Shz	SC	20625	8	61	FALSE	1	2	2	18HRS	gametocyteR	male	TRUE
