id	PfAsex.61	PfAsex.62	PfAsex.63	PfAsex.64	PfAsex.65	PfAsex.66	PfAsex.67	PfAsex.68	PfAsex.69	PfAsex.71	PfAsex.72	PfAsex.73	PfAsex.74	PfAsex.75	PfAsex.76	PfAsex.77	PfAsex.79	PfAsex.610	PfAsex.611	PfAsex.612	PfAsex.613	PfAsex.614	PfAsex.615	PfAsex.616	PfAsex.617	PfAsex.618	PfAsex.619	PfAsex.620	PfAsex.621	PfAsex.622	PfAsex.623	PfAsex.624	PfAsex.625	PfAsex.626	PfAsex.627	PfAsex.628	PfAsex.629	PfAsex.630	PfAsex.631	PfAsex.632	PfAsex.633	PfAsex.634	PfAsex.635	PfAsex.636	PfAsex.637	PfAsex.638	PfAsex.639	PfAsex.640	PfAsex.641	PfAsex.642	PfAsex.643	PfAsex.644	PfAsex.645	PfAsex.646	PfAsex.647	PfAsex.648	PfAsex.649	PfAsex.650	PfAsex.651	PfAsex.652	PfAsex.653	PfAsex.654	PfAsex.655	PfAsex.656	PfAsex.657	PfAsex.658	PfAsex.659	PfAsex.660	PfAsex.661	PfAsex.662	PfAsex.663	PfAsex.664	PfAsex.665	PfAsex.666	PfAsex.667	PfAsex.668	PfAsex.669	PfAsex.670	PfAsex.671	PfAsex.672	PfAsex.673	PfAsex.674	PfAsex.675	PfAsex.676	PfAsex.677	PfAsex.678	PfAsex.679	PfAsex.680	PfAsex.681	PfAsex.682	PfAsex.683	PfAsex.684	PfAsex.685	PfAsex.686	PfAsex.687	PfAsex.688	PfAsex.689	PfAsex.690	PfAsex.691	PfAsex.692	PfAsex.693	PfAsex.694	PfAsex.695	PfAsex.696	PfAsex.710	PfAsex.711	PfAsex.712	PfAsex.713	PfAsex.714	PfAsex.715	PfAsex.717	PfAsex.718	PfAsex.719	PfAsex.720	PfAsex.721	PfAsex.722	PfAsex.723	PfAsex.725	PfAsex.726	PfAsex.727	PfAsex.728	PfAsex.729	PfAsex.730	PfAsex.731	PfAsex.733	PfAsex.734	PfAsex.735	PfAsex.736	PfAsex.737	PfAsex.738	PfAsex.739	PfAsex.741	PfAsex.742	PfAsex.743	PfAsex.744	PfAsex.745	PfAsex.746	PfAsex.747	PfAsex.749	PfAsex.750	PfAsex.751	PfAsex.752	PfAsex.753	PfAsex.754	PfAsex.755	PfAsex.757	PfAsex.758	PfAsex.759	PfAsex.760	PfAsex.761	PfAsex.762	PfAsex.763	PfAsex.765	PfAsex.766	PfAsex.767	PfAsex.768	PfAsex.769	PfAsex.770	PfAsex.771	PfAsex.773	PfAsex.774	PfAsex.775	PfAsex.776	PfAsex.777	PfAsex.778	PfAsex.779	PfAsex.781	PfAsex.782	PfAsex.783	PfAsex.784	PfAsex.785	PfAsex.786	PfAsex.787	PfAsex.789	PfAsex.790	PfAsex.791	PfAsex.792	PfAsex.793	PfAsex.794	PfAsex.795
PF3D7_0100100	0	0	0	0	0	0	255	133	0	0	0	0	126	0	0	0	69	0	0	0	0	331	0	0	0	0	184	0	0	0	0	0	0	0	87	0	0	0	0	184	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	2	0	146	0	0	0	30	0	0	0	0	0	0	0	0	21	0	0	3164	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	2	0	36	310	0	0	0	493	0	1	4	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	9	0	18	14	0	0	0	276	0	0	0	0	0	0	86	0	0	0	0	412	915	0	0	0	1	0	0	0	326	0	897	0	0	0	0	0	1457	0	0	0	0	0	1	0	194	0	0	0	0	0	0	0	0	0
PF3D7_0100200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100400	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	218	470	496	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0
PF3D7_0100500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PF3D7_0101000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
