sample_id	sanger_sample_id	sanger_name	type	lane	tag	run	is_control	lopez	otto	pseudotime_state	pass_filter
PfAsex.61	3429STDY6428296	C401-A2_1A_SC_Pfal	SC	6	1	20086	FALSE	lt	32h	1	TRUE
PfAsex.62	3429STDY6428297	C401-C8_1B_SC_Pfal	SC	6	2	20086	FALSE	GII	32h	NA	TRUE
PfAsex.63	3429STDY6428298	C401-H6_1C_SC_Pfal	SC	6	3	20086	FALSE	schizont	48h	4	TRUE
PfAsex.64	3429STDY6428299	C402-C8_1D_SC_Pfal	SC	6	4	20086	FALSE	lt	40h	4	TRUE
PfAsex.65	3429STDY6428300	C402-F5_1E_SC_Pfal	SC	6	5	20086	FALSE	lt	40h	4	TRUE
PfAsex.66	3429STDY6428301	C403-A6_1F_SC_Pfal	SC	6	6	20086	FALSE	lt	32h	1	TRUE
PfAsex.67	3429STDY6428302	C403-B6_1G_SC_Pfal	SC	6	7	20086	FALSE	schizont	40h	4	TRUE
PfAsex.68	3429STDY6428303	C403-C9_1H_SC_Pfal	SC	6	8	20086	FALSE	schizont	40h	4	TRUE
PfAsex.69	3429STDY6428304	C401-A3_2A_SC_Pfal	SC	6	9	20086	FALSE	lt	32h	1	TRUE
PfAsex.71	3429STDY6428392	C403-D10_1A_SC_Pfal	SC	7	1	20086	FALSE	lt	40h	4	TRUE
PfAsex.72	3429STDY6428393	C403-E11_1B_SC_Pfal	SC	7	2	20086	FALSE	NA	NA	NA	FALSE
PfAsex.73	3429STDY6428394	C403-G2_1C_SC_Pfal	SC	7	3	20086	FALSE	lt	32h	1	TRUE
PfAsex.74	3429STDY6428395	C404-A10_1D_SC_Pfal	SC	7	4	20086	FALSE	lt	40h	2	TRUE
PfAsex.75	3429STDY6428396	C404-B10_1E_SC_Pfal	SC	7	5	20086	FALSE	lt	32h	1	TRUE
PfAsex.76	3429STDY6428397	C404-D1_1F_SC_Pfal	SC	7	6	20086	FALSE	lt	40h	2	TRUE
PfAsex.77	3429STDY6428398	C404-E4_1G_SC_Pfal	SC	7	7	20086	FALSE	NA	NA	NA	FALSE
PfAsex.79	3429STDY6428400	C403-D11_2A_SC_Pfal	SC	7	9	20086	FALSE	lt	40h	1	TRUE
PfAsex.610	3429STDY6428305	C401-C9_2B_SC_Pfal	SC	6	10	20086	FALSE	lt	40h	4	TRUE
PfAsex.611	3429STDY6428306	C401-H7_2C_SC_Pfal	SC	6	11	20086	FALSE	lt	32h	1	TRUE
PfAsex.612	3429STDY6428307	C402-C9_2D_SC_Pfal	SC	6	12	20086	FALSE	lt	40h	1	TRUE
PfAsex.613	3429STDY6428308	C402-F6_2E_SC_Pfal	SC	6	13	20086	FALSE	schizont	40h	4	TRUE
PfAsex.614	3429STDY6428309	C403-A4_2F_SC_Pfal	SC	6	14	20086	FALSE	lt	40h	4	TRUE
PfAsex.615	3429STDY6428310	C403-B7_2G_SC_Pfal	SC	6	15	20086	FALSE	lt	32h	1	TRUE
PfAsex.616	3429STDY6428311	C403-C10_2H_SC_Pfal	SC	6	16	20086	FALSE	lt	32h	1	TRUE
PfAsex.617	3429STDY6428312	C401-A5_3A_SC_Pfal	SC	6	17	20086	FALSE	lt	40h	2	TRUE
PfAsex.618	3429STDY6428313	C401-D2_3B_SC_Pfal	SC	6	18	20086	FALSE	GII	32h	NA	TRUE
PfAsex.619	3429STDY6428314	C401-H10_3C_100cell_Pfal	Hcell	6	19	20086	TRUE	NA	NA	NA	FALSE
PfAsex.620	3429STDY6428315	C402-D7_3D_SC_Pfal	SC	6	20	20086	FALSE	lt	32h	1	TRUE
PfAsex.621	3429STDY6428316	C402-F7_3E_SC_Pfal	SC	6	21	20086	FALSE	lt	40h	2	TRUE
PfAsex.622	3429STDY6428317	C403-A8_3F_SC_Pfal	SC	6	22	20086	FALSE	lt	32h	1	TRUE
PfAsex.623	3429STDY6428318	C403-B8_3G_SC_Pfal	SC	6	23	20086	FALSE	schizont	40h	4	TRUE
PfAsex.624	3429STDY6428319	C403-C11_3H_SC_Pfal	SC	6	24	20086	FALSE	schizont	48h	4	TRUE
PfAsex.625	3429STDY6428320	C401-A6_4A_SC_Pfal	SC	6	25	20086	FALSE	schizont	40h	4	TRUE
PfAsex.626	3429STDY6428321	C401-D3_4B_SC_Pfal	SC	6	26	20086	FALSE	lt	40h	4	TRUE
PfAsex.627	3429STDY6428322	C401-H11_4C_100cell_Pfal	Hcell	6	27	20086	TRUE	NA	NA	NA	FALSE
PfAsex.628	3429STDY6428323	C402-D8_4D_SC_Pfal	SC	6	28	20086	FALSE	lt	40h	1	TRUE
PfAsex.629	3429STDY6428324	C402-F8_4E_SC_Pfal	SC	6	29	20086	FALSE	lt	40h	2	TRUE
PfAsex.630	3429STDY6428325	C403-A9_4F_SC_Pfal	SC	6	30	20086	FALSE	lt	40h	2	TRUE
PfAsex.631	3429STDY6428326	C403-B9_4G_SC_Pfal	SC	6	31	20086	FALSE	lt	40h	4	TRUE
PfAsex.632	3429STDY6428327	C403-C12_4H_SC_Pfal	SC	6	32	20086	FALSE	schizont	40h	4	TRUE
PfAsex.633	3429STDY6428328	C401-B9_5A_SC_Pfal	SC	6	33	20086	FALSE	lt	32h	1	TRUE
PfAsex.634	3429STDY6428329	C401-E11_5B_SC_Pfal	SC	6	34	20086	FALSE	lt	40h	4	TRUE
PfAsex.635	3429STDY6428330	C402-A2_5C_SC_Pfal	SC	6	35	20086	FALSE	lt	40h	1	TRUE
PfAsex.636	3429STDY6428331	C402-D11_5D_SC_Pfal	SC	6	36	20086	FALSE	lt	40h	1	TRUE
PfAsex.637	3429STDY6428332	C402-F9_5E_SC_Pfal	SC	6	37	20086	FALSE	lt	40h	2	TRUE
PfAsex.638	3429STDY6428333	C403-A10_5F_SC_Pfal	SC	6	38	20086	FALSE	lt	40h	2	TRUE
PfAsex.639	3429STDY6428334	C403-B10_5G_SC_Pfal	SC	6	39	20086	FALSE	schizont	40h	4	TRUE
PfAsex.640	3429STDY6428335	C403-D1_5H_SC_Pfal	SC	6	40	20086	FALSE	lt	32h	1	TRUE
PfAsex.641	3429STDY6428336	C401-B0_6A_SC_Pfal	SC	6	41	20086	FALSE	lt	32h	1	TRUE
PfAsex.642	3429STDY6428337	C401-E12_6B_SC_Pfal	SC	6	42	20086	FALSE	lt	40h	1	TRUE
PfAsex.643	3429STDY6428338	C402-A3_6C_SC_Pfal	SC	6	43	20086	FALSE	lt	32h	1	TRUE
PfAsex.644	3429STDY6428339	C402-D12_6D_SC_Pfal	SC	6	44	20086	FALSE	lt	40h	2	TRUE
PfAsex.645	3429STDY6428340	C402-F10_6E_SC_Pfal	SC	6	45	20086	FALSE	lt	40h	4	TRUE
PfAsex.646	3429STDY6428341	C403-A11_6F_SC_Pfal	SC	6	46	20086	FALSE	lt	32h	1	TRUE
PfAsex.647	3429STDY6428342	C403-B11_6G_SC_Pfal	SC	6	47	20086	FALSE	schizont	40h	4	TRUE
PfAsex.648	3429STDY6428343	C403-D2_6H_SC_Pfal	SC	6	48	20086	FALSE	lt	48h	3	TRUE
PfAsex.649	3429STDY6428344	C401-B11_7A_SC_Pfal	SC	6	49	20086	FALSE	lt	40h	2	TRUE
PfAsex.650	3429STDY6428345	C401-F3_7B_SC_Pfal	SC	6	50	20086	FALSE	lt	32h	1	TRUE
PfAsex.651	3429STDY6428346	C402-B2_7C_SC_Pfal	SC	6	51	20086	FALSE	lt	24h	1	TRUE
PfAsex.652	3429STDY6428347	C402-E9_7D_SC_Pfal	SC	6	52	20086	FALSE	lt	40h	2	TRUE
PfAsex.653	3429STDY6428348	C402-F11_7E_SC_Pfal	SC	6	53	20086	FALSE	schizont	40h	4	TRUE
PfAsex.654	3429STDY6428349	C403-A12_7F_SC_Pfal	SC	6	54	20086	FALSE	lt	40h	2	TRUE
PfAsex.655	3429STDY6428350	C403-B12_7G_SC_Pfal	SC	6	55	20086	FALSE	lt	32h	1	TRUE
PfAsex.656	3429STDY6428351	C403-D3_7H_SC_Pfal	SC	6	56	20086	FALSE	NA	NA	NA	FALSE
PfAsex.657	3429STDY6428352	C401-B12_8A_SC_Pfal	SC	6	57	20086	FALSE	schizont	40h	4	TRUE
PfAsex.658	3429STDY6428353	C401-F4_8B_SC_Pfal	SC	6	58	20086	FALSE	schizont	40h	4	TRUE
PfAsex.659	3429STDY6428354	C402-B3_8C_SC_Pfal	SC	6	59	20086	FALSE	NA	NA	NA	FALSE
PfAsex.660	3429STDY6428355	C402-E10_8D_SC_Pfal	SC	6	60	20086	FALSE	lt	32h	1	TRUE
PfAsex.661	3429STDY6428356	C402-F12_8E_SC_Pfal	SC	6	61	20086	FALSE	lt	40h	2	TRUE
PfAsex.662	3429STDY6428357	C403-B1_8F_SC_Pfal	SC	6	62	20086	FALSE	lt	40h	3	TRUE
PfAsex.663	3429STDY6428358	C403-C1_8G_SC_Pfal	SC	6	63	20086	FALSE	GII	32h	NA	TRUE
PfAsex.664	3429STDY6428359	C403-D4_8H_SC_Pfal	SC	6	64	20086	FALSE	lt	40h	3	TRUE
PfAsex.665	3429STDY6428360	C401-C1_9A_SC_Pfal	SC	6	65	20086	FALSE	NA	NA	NA	FALSE
PfAsex.666	3429STDY6428361	C401-F9_9B_SC_Pfal	SC	6	66	20086	FALSE	lt	32h	1	TRUE
PfAsex.667	3429STDY6428362	C402-B8_9C_SC_Pfal	SC	6	67	20086	FALSE	lt	40h	1	TRUE
PfAsex.668	3429STDY6428363	C402-F1_9D_SC_Pfal	SC	6	68	20086	FALSE	lt	32h	1	TRUE
PfAsex.669	3429STDY6428364	C402-H2_9E_SC_Pfal	SC	6	69	20086	FALSE	schizont	40h	4	TRUE
PfAsex.670	3429STDY6428365	C403-B2_9F_SC_Pfal	SC	6	70	20086	FALSE	lt	24h	1	TRUE
PfAsex.671	3429STDY6428366	C403-C2_9G_SC_Pfal	SC	6	71	20086	FALSE	NA	NA	NA	FALSE
PfAsex.672	3429STDY6428367	C403-D6_9H_SC_Pfal	SC	6	72	20086	FALSE	schizont	40h	4	TRUE
PfAsex.673	3429STDY6428368	C401-C2_10A_SC_Pfal	SC	6	73	20086	FALSE	lt	40h	3	TRUE
PfAsex.674	3429STDY6428369	C401-F10_10B_SC_Pfal	SC	6	74	20086	FALSE	lt	32h	1	TRUE
PfAsex.675	3429STDY6428370	C402-B9_10C_SC_Pfal	SC	6	75	20086	FALSE	NA	NA	NA	FALSE
PfAsex.676	3429STDY6428371	C402-F2_10D_SC_Pfal	SC	6	76	20086	FALSE	lt	32h	1	TRUE
