sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	type	lanetag	lasonder	is_control	pass_filter
PfG.43	ERS1544534	3429STDY6396155	2A_SC_Pfal_1E	SC	19715	4	3	PfG	43	Female	FALSE	TRUE
PfG.44	ERS1544535	3429STDY6396156	2B_SC_Pfal_1E	SC	19715	4	4	PfG	44	Female	FALSE	TRUE
PfG.45	ERS1544536	3429STDY6396157	2C_SC_Pfal_1E	SC	19715	4	5	PfG	45	Female	FALSE	TRUE
PfG.46	ERS1544537	3429STDY6396158	2D_SC_Pfal_1E	SC	19715	4	6	PfG	46	Female	FALSE	TRUE
PfG.47	ERS1544538	3429STDY6396159	2E_SC_Pfal_4E	SC	19715	4	7	PfG	47	Female	FALSE	TRUE
PfG.48	ERS1544539	3429STDY6396160	2F_SC_Pfal_4E	SC	19715	4	8	PfG	48	Female	FALSE	TRUE
PfG.49	ERS1544540	3429STDY6396161	2G_SC_Pfal_4E	SC	19715	4	9	PfG	49	Female	FALSE	TRUE
PfG.53	ERS1544618	3429STDY6396239	2A_SC_Pfal_2E	SC	19715	5	3	PfG	53	Female	FALSE	TRUE
PfG.54	ERS1544619	3429STDY6396240	2B_SC_Pfal_2E	SC	19715	5	4	PfG	54	Female	FALSE	TRUE
PfG.55	ERS1544620	3429STDY6396241	2C_SC_Pfal_2E	SC	19715	5	5	PfG	55	Female	FALSE	TRUE
PfG.56	ERS1544621	3429STDY6396242	2D_SC_Pfal_2E	SC	19715	5	6	NA	NA	NA	FALSE	FALSE
PfG.57	ERS1544622	3429STDY6396243	2E_SC_Pfal_5E	SC	19715	5	7	PfG	57	Female	FALSE	TRUE
PfG.58	ERS1544623	3429STDY6396244	2F_SC_Pfal_5E	SC	19715	5	8	PfG	58	Female	FALSE	TRUE
PfG.59	ERS1544624	3429STDY6396245	2G_SC_Pfal_5E	SC	19715	5	9	PfG	59	Female	FALSE	TRUE
PfG.63	ERS1544702	3429STDY6396323	2A_SC_Pfal_3E	SC	19715	6	3	PfG	63	Female	FALSE	TRUE
PfG.64	ERS1544703	3429STDY6396324	2B_SC_Pfal_3E	SC	19715	6	4	PfG	64	Female	FALSE	TRUE
PfG.65	ERS1544704	3429STDY6396325	2C_SC_Pfal_3E	SC	19715	6	5	PfG	65	Female	FALSE	TRUE
PfG.66	ERS1544705	3429STDY6396326	2D_SC_Pfal_3E	SC	19715	6	6	PfG	66	Female	FALSE	TRUE
PfG.67	ERS1544706	3429STDY6396327	2E_SC_Pfal_6E	SC	19715	6	7	PfG	67	Female	FALSE	TRUE
PfG.68	ERS1544707	3429STDY6396328	2F_SC_Pfal_6E	SC	19715	6	8	PfG	68	Female	FALSE	TRUE
PfG.69	ERS1544708	3429STDY6396329	2G_SC_Pfal_6E	SC	19715	6	9	PfG	69	Female	FALSE	TRUE
PfG.410	ERS1544541	3429STDY6396162	2H_SC_Pfal_4E	SC	19715	4	10	NA	NA	NA	FALSE	FALSE
PfG.411	ERS1544542	3429STDY6396163	3A_SC_Pfal_1E	SC	19715	4	11	PfG	411	Female	FALSE	TRUE
PfG.412	ERS1544543	3429STDY6396164	3B_SC_Pfal_1E	SC	19715	4	12	PfG	412	Female	FALSE	TRUE
PfG.413	ERS1544544	3429STDY6396165	3C_SC_Pfal_1E	SC	19715	4	13	PfG	413	Female	FALSE	TRUE
PfG.414	ERS1544545	3429STDY6396166	3D_SC_Pfal_1E	SC	19715	4	14	PfG	414	Female	FALSE	TRUE
PfG.415	ERS1544546	3429STDY6396167	3E_SC_Pfal_4E	SC	19715	4	15	PfG	415	Female	FALSE	TRUE
PfG.416	ERS1544547	3429STDY6396168	3F_SC_Pfal_4E	SC	19715	4	16	PfG	416	Female	FALSE	TRUE
PfG.417	ERS1544548	3429STDY6396169	3G_SC_Pfal_4E	SC	19715	4	17	PfG	417	Female	FALSE	TRUE
PfG.419	ERS1544550	3429STDY6396171	4A_SC_Pfal_1E	SC	19715	4	19	PfG	419	Female	FALSE	TRUE
PfG.420	ERS1544551	3429STDY6396172	4B_SC_Pfal_1E	SC	19715	4	20	PfG	420	Female	FALSE	TRUE
PfG.421	ERS1544552	3429STDY6396173	4C_SC_Pfal_1E	SC	19715	4	21	PfG	421	Female	FALSE	TRUE
PfG.422	ERS1544553	3429STDY6396174	4D_SC_Pfal_1E	SC	19715	4	22	NA	NA	NA	FALSE	FALSE
PfG.423	ERS1544554	3429STDY6396175	4E_SC_Pfal_4E	SC	19715	4	23	PfG	423	Female	FALSE	TRUE
